,equip_id,run_start_date,measurement_date,block_no,evaluation_place,category,off_point,time,result,comment,sub_category
0,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:44:21.276000+00:00,B0,B0,070003,50.0,1.0,0,0,100
1,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:44:58.160000+00:00,B0,B0,100102,5.0,1.0,0,0,100
2,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:45:07.266000+00:00,B0,B0,100102,5.0,3.0,0,0,100
3,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:45:18.150000+00:00,E3,E3,100302,5.0,9.0,0,0,100
4,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:45:21.076000+00:00,E3,E3,100302,5.0,13.0,0,0,100
5,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:45:29.570000+00:00,C0,C0,600001,20.0,18.0,0,0,100
6,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:45:38.248000+00:00,E2,E2,100302,5.0,21.0,0,0,100
7,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:45:50.762000+00:00,E1,E1,100304,5.0,25.0,0,0,100
8,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:45:52.751000+00:00,E1,E1,100304,5.0,27.0,0,0,100
9,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:46:57.258000+00:00,E2,E2,100302,5.0,31.0,0,0,100
10,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:47:20.647000+00:00,E3,E3,100302,5.0,36.0,0,0,100
11,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:48:02.544000+00:00,L0,L0,470001,50.0,43.0,0,0,100
12,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:48:04.050000+00:00,E3,E3,100301,5.0,44.0,0,0,100
13,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:48:13.103000+00:00,C0,C0,130005,5.0,47.0,0,0,100
14,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:48:11.832000+00:00,C0,C0,600001,20.0,47.0,0,0,100
15,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:48:13.103000+00:00,E3,E3,130005,5.0,48.0,0,0,100
16,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:48:13.248000+00:00,E3,E3,100301,5.0,48.0,0,0,100
17,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:48:13.259000+00:00,A0,A0,130005,5.0,49.0,0,0,100
18,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:48:13.449000+00:00,E3,E3,130005,5.0,50.0,0,0,100
19,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:48:14.261000+00:00,E3,E3,100301,5.0,50.0,0,0,100
20,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:48:24.259000+00:00,E3,E3,100301,5.0,53.0,0,0,100
21,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:49:27.647000+00:00,E3,E3,100301,5.0,62.0,0,0,100
22,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:49:38.047000+00:00,E3,E3,100301,5.0,67.0,0,0,100
